iter	Passed	Remaining
0	11	5789
1	24	6081
2	37	6188
3	50	6236
4	63	6281
5	75	6180
6	88	6203
7	98	6075
8	110	6021
9	123	6041
10	135	6003
11	146	5943
12	157	5890
13	171	5938
14	183	5926
15	195	5916
16	208	5924
17	222	5963
18	236	5980
19	248	5973
20	262	5978
21	273	5935
22	285	5916
23	296	5886
24	307	5833
25	321	5856
26	336	5902
27	348	5875
28	361	5871
29	373	5854
30	387	5859
31	400	5862
32	414	5867
33	427	5855
34	440	5849
35	453	5844
36	465	5827
37	478	5814
38	490	5795
39	503	5785
40	519	5811
41	532	5803
42	545	5795
43	558	5787
44	571	5774
45	583	5760
46	595	5742
47	609	5735
48	620	5714
49	634	5706
50	646	5695
51	659	5680
52	671	5659
53	683	5648
54	695	5627
55	709	5623
56	724	5628
57	738	5628
58	751	5618
59	764	5602
60	776	5586
61	789	5578
62	801	5558
63	814	5549
64	829	5551
65	841	5531
66	854	5521
67	867	5509
68	879	5491
69	891	5474
70	903	5461
71	915	5444
72	929	5434
73	941	5417
74	956	5417
75	968	5404
76	983	5400
77	997	5396
78	1009	5377
79	1023	5371
80	1037	5366
81	1050	5353
82	1063	5341
83	1075	5326
84	1090	5322
85	1103	5309
86	1115	5297
87	1130	5291
88	1143	5281
89	1156	5267
90	1168	5252
91	1181	5238
92	1196	5236
93	1211	5231
94	1224	5220
95	1237	5209
96	1251	5199
97	1264	5187
98	1277	5174
99	1291	5166
100	1305	5158
101	1321	5156
102	1335	5147
103	1349	5136
104	1362	5124
105	1375	5112
106	1389	5102
107	1402	5088
108	1416	5082
109	1429	5067
110	1443	5057
111	1455	5042
112	1469	5031
113	1483	5021
114	1495	5006
115	1509	4996
116	1521	4979
117	1534	4966
118	1547	4956
119	1561	4944
120	1573	4929
121	1586	4916
122	1599	4903
123	1614	4894
124	1626	4879
125	1640	4868
126	1651	4851
127	1664	4836
128	1676	4820
129	1690	4810
130	1702	4795
131	1715	4783
132	1727	4767
133	1739	4751
134	1752	4737
135	1765	4725
136	1779	4714
137	1792	4702
138	1805	4690
139	1819	4678
140	1832	4665
141	1845	4652
142	1861	4646
143	1877	4641
144	1890	4628
145	1902	4612
146	1915	4600
147	1929	4589
148	1942	4576
149	1955	4562
150	1968	4549
151	1982	4539
152	1997	4530
153	2011	4518
154	2024	4505
155	2037	4491
156	2048	4475
157	2061	4462
158	2074	4449
159	2086	4433
160	2098	4418
161	2111	4405
162	2124	4392
163	2136	4377
164	2147	4359
165	2160	4347
166	2174	4335
167	2187	4323
168	2201	4312
169	2215	4300
170	2226	4284
171	2239	4270
172	2252	4256
173	2264	4243
174	2276	4228
175	2288	4213
176	2301	4199
177	2312	4182
178	2324	4169
179	2336	4152
180	2347	4137
181	2360	4123
182	2372	4110
183	2385	4096
184	2398	4084
185	2412	4072
186	2423	4056
187	2435	4042
188	2449	4030
189	2461	4015
190	2473	4001
191	2486	3989
192	2499	3975
193	2510	3960
194	2523	3946
195	2533	3929
196	2547	3917
197	2558	3902
198	2571	3888
199	2582	3874
200	2595	3861
201	2608	3847
202	2620	3834
203	2632	3819
204	2644	3805
205	2656	3790
206	2667	3776
207	2680	3763
208	2692	3749
209	2707	3738
210	2719	3724
211	2730	3709
212	2742	3694
213	2754	3680
214	2766	3666
215	2777	3652
216	2790	3638
217	2802	3625
218	2815	3612
219	2827	3598
220	2839	3584
221	2851	3570
222	2863	3556
223	2875	3543
224	2888	3530
225	2900	3516
226	2913	3503
227	2925	3490
228	2938	3477
229	2949	3462
230	2963	3450
231	2977	3439
232	2989	3425
233	3002	3413
234	3015	3400
235	3026	3385
236	3038	3371
237	3050	3357
238	3063	3345
239	3075	3331
240	3088	3318
241	3100	3305
242	3112	3291
243	3125	3278
244	3138	3266
245	3153	3255
246	3167	3244
247	3178	3230
248	3191	3217
249	3204	3204
250	3216	3191
251	3229	3178
252	3241	3164
253	3254	3152
254	3267	3139
255	3276	3123
256	3289	3109
257	3302	3097
258	3313	3083
259	3326	3070
260	3338	3057
261	3349	3042
262	3361	3029
263	3375	3017
264	3387	3004
265	3400	2991
266	3413	2978
267	3425	2965
268	3437	2951
269	3450	2939
270	3464	2927
271	3476	2913
272	3487	2899
273	3499	2886
274	3510	2872
275	3524	2860
276	3536	2846
277	3550	2834
278	3563	2822
279	3577	2810
280	3590	2798
281	3603	2785
282	3613	2771
283	3626	2757
284	3639	2745
285	3651	2732
286	3665	2720
287	3678	2707
288	3690	2694
289	3702	2681
290	3714	2667
291	3725	2653
292	3739	2642
293	3752	2629
294	3764	2615
295	3775	2602
296	3789	2589
297	3800	2576
298	3811	2562
299	3824	2549
300	3836	2536
301	3849	2523
302	3862	2511
303	3874	2498
304	3886	2484
305	3898	2471
306	3910	2458
307	3921	2444
308	3931	2430
309	3946	2418
310	3959	2406
311	3971	2393
312	3984	2380
313	3997	2367
314	4010	2355
315	4024	2343
316	4037	2330
317	4050	2318
318	4063	2305
319	4075	2292
320	4088	2279
321	4100	2266
322	4114	2254
323	4125	2241
324	4137	2228
325	4151	2215
326	4165	2203
327	4179	2191
328	4192	2179
329	4206	2166
330	4218	2153
331	4230	2140
332	4243	2127
333	4256	2115
334	4269	2102
335	4282	2090
336	4295	2077
337	4307	2064
338	4319	2051
339	4332	2038
340	4345	2026
341	4357	2013
342	4372	2001
343	4383	1988
344	4395	1974
345	4408	1961
346	4421	1949
347	4432	1936
348	4446	1923
349	4458	1910
350	4472	1898
351	4486	1886
352	4498	1873
353	4511	1860
354	4523	1847
355	4536	1834
356	4549	1822
357	4562	1809
358	4575	1797
359	4587	1783
360	4599	1771
361	4614	1759
362	4629	1747
363	4645	1735
364	4662	1724
365	4678	1712
366	4694	1701
367	4707	1688
368	4720	1675
369	4735	1663
370	4751	1651
371	4765	1639
372	4781	1627
373	4794	1615
374	4827	1609
375	4838	1595
376	4854	1583
377	4869	1571
378	4884	1559
379	4898	1546
380	4912	1534
381	4926	1521
382	4942	1509
383	4955	1496
384	4966	1483
385	4980	1471
386	4996	1458
387	5009	1446
388	5024	1433
389	5038	1421
390	5051	1408
391	5065	1395
392	5078	1382
393	5090	1369
394	5103	1356
395	5115	1343
396	5128	1330
397	5144	1318
398	5158	1305
399	5172	1293
400	5187	1280
401	5199	1267
402	5213	1254
403	5225	1241
404	5237	1228
405	5252	1216
406	5265	1203
407	5278	1190
408	5290	1177
409	5303	1164
410	5315	1151
411	5328	1138
412	5342	1125
413	5354	1112
414	5367	1099
415	5379	1086
416	5393	1073
417	5405	1060
418	5418	1047
419	5429	1034
420	5442	1021
421	5455	1008
422	5467	995
423	5479	982
424	5492	969
425	5504	956
426	5516	943
427	5529	930
428	5542	917
429	5553	904
430	5567	891
431	5579	878
432	5593	865
433	5605	852
434	5619	839
435	5634	827
436	5648	814
437	5662	801
438	5674	788
439	5688	775
440	5703	763
441	5717	750
442	5732	737
443	5747	724
444	5762	712
445	5776	699
446	5790	686
447	5806	673
448	5822	661
449	5836	648
450	5848	635
451	5862	622
452	5876	609
453	5891	596
454	5906	584
455	5920	571
456	5935	558
457	5950	545
458	5964	532
459	5980	520
460	5995	507
461	6010	494
462	6028	481
463	6043	468
464	6057	455
465	6072	443
466	6088	430
467	6103	417
468	6115	404
469	6131	391
470	6146	378
471	6161	365
472	6176	352
473	6191	339
474	6204	326
475	6218	313
476	6233	300
477	6247	287
478	6261	274
479	6275	261
480	6288	248
481	6302	235
482	6316	222
483	6334	209
484	6347	196
485	6361	183
486	6373	170
487	6386	157
488	6400	143
489	6413	130
490	6427	117
491	6442	104
492	6453	91
493	6468	78
494	6481	65
495	6497	52
496	6509	39
497	6523	26
498	6537	13
499	6550	0
